TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
1383,0000	77,0057
1382,0000	76,8293
1381,0000	76,6653
1380,0000	76,8387
1379,0000	76,8655
1378,0000	76,9528
1377,0000	77,0915
1376,0000	77,0771
1375,0000	77,0116
1374,0000	77,0339
1373,0000	77,1166
1372,0000	77,0975
1371,0000	77,177
1370,0000	77,1755
1369,0000	76,9438
1368,0000	76,8043
1367,0000	76,7928
1366,0000	76,7893
1365,0000	76,8413
1364,0000	76,8903
1363,0000	76,8411
1362,0000	76,846
1361,0000	76,8152
1360,0000	76,8456
1359,0000	76,8928
1358,0000	76,953
1357,0000	77,081
1356,0000	77,2496
1355,0000	77,2729
1354,0000	77,1985
1353,0000	77,2619
1352,0000	77,1333
1351,0000	77,1547
1350,0000	77,2665
1349,0000	77,2116
1348,0000	77,2709
1347,0000	77,3311
1346,0000	77,3648
1345,0000	77,336
1344,0000	77,3881
1343,0000	77,4075
1342,0000	77,3388
1341,0000	77,3322
1340,0000	77,3935
1339,0000	77,2201
1338,0000	77,2678
1337,0000	77,435
1336,0000	77,3557
1335,0000	77,4664
1334,0000	77,5351
1333,0000	77,4303
1332,0000	77,4728
1331,0000	77,4481
1330,0000	77,4142
1329,0000	77,5098
1328,0000	77,547
1327,0000	77,6157
1326,0000	77,6213
1325,0000	77,5441
1324,0000	77,4999
1323,0000	77,4656
1322,0000	77,4598
1321,0000	77,5032
1320,0000	77,4896
1319,0000	77,5688
1318,0000	77,5917
1317,0000	77,5746
1316,0000	77,5885
1315,0000	77,5743
1314,0000	77,5781
1313,0000	77,5838
1312,0000	77,6208
1311,0000	77,6112
1310,0000	77,6785
1309,0000	77,7316
1308,0000	77,7371
1307,0000	77,7739
1306,0000	77,7146
1305,0000	77,7359
1304,0000	77,7275
1303,0000	77,73
1302,0000	77,7554
1301,0000	77,7568
1300,0000	77,837
1299,0000	77,8271
1298,0000	77,8399
1297,0000	77,8035
1296,0000	77,755
1295,0000	77,7089
1294,0000	77,709
1293,0000	77,7162
1292,0000	77,7558
1291,0000	77,8153
1290,0000	77,8532
1289,0000	77,8978
1288,0000	77,8852
1287,0000	77,8734
1286,0000	77,8664
1285,0000	77,8078
1284,0000	77,8244
1283,0000	77,822
1282,0000	77,814
1281,0000	77,865
1280,0000	77,8564
1279,0000	77,87
1278,0000	77,877
1277,0000	77,9046
1276,0000	77,9421
1275,0000	77,9595
1274,0000	77,9917
1273,0000	78,0105
1272,0000	77,9925
1271,0000	78,0293
1270,0000	77,9842
1269,0000	77,9448
1268,0000	77,9566
1267,0000	77,9609
1266,0000	78,0398
1265,0000	78,0476
1264,0000	78,0064
1263,0000	78,0679
1262,0000	78,0868
1261,0000	78,1951
1260,0000	78,3058
1259,0000	78,2684
1258,0000	78,2451
1257,0000	78,2248
1256,0000	78,1647
1255,0000	78,2087
1254,0000	78,2069
1253,0000	78,1272
1252,0000	78,143
1251,0000	78,0744
1250,0000	78,0286
1249,0000	78,0912
1248,0000	78,1242
1247,0000	78,1247
1246,0000	78,1607
1245,0000	78,1259
1244,0000	78,1037
1243,0000	78,0877
1242,0000	78,0716
1241,0000	78,0384
1240,0000	77,9284
1239,0000	77,9419
1238,0000	77,8974
1237,0000	77,824
1236,0000	77,8788
1235,0000	77,8016
1234,0000	77,8173
1233,0000	77,8793
1232,0000	77,8326
1231,0000	77,8821
1230,0000	77,9091
1229,0000	77,9395
1228,0000	78,0402
1227,0000	78,0977
1226,0000	78,1101
1225,0000	78,1237
1224,0000	78,1399
1223,0000	78,0904
1222,0000	78,091
1221,0000	78,0557
1220,0000	78,0399
1219,0000	78,1031
1218,0000	78,1155
1217,0000	78,172
1216,0000	78,1697
1215,0000	78,206
1214,0000	78,1812
1213,0000	78,1562
1212,0000	78,1397
1211,0000	78,128
1210,0000	78,1724
1209,0000	78,2333
1208,0000	78,2649
1207,0000	78,2154
1206,0000	78,2452
1205,0000	78,2101
1204,0000	78,2128
1203,0000	78,2486
1202,0000	78,2039
1201,0000	78,2331
1200,0000	78,258
1199,0000	78,2456
1198,0000	78,2667
1197,0000	78,2852
1196,0000	78,3489
1195,0000	78,3564
1194,0000	78,298
1193,0000	78,2686
1192,0000	78,2107
1191,0000	78,2371
1190,0000	78,2814
1189,0000	78,2967
1188,0000	78,331
1187,0000	78,3248
1186,0000	78,2976
1185,0000	78,3017
1184,0000	78,3087
1183,0000	78,3126
1182,0000	78,2845
1181,0000	78,2865
1180,0000	78,2635
1179,0000	78,2684
1178,0000	78,2964
1177,0000	78,2965
1176,0000	78,3422
1175,0000	78,3377
1174,0000	78,3755
1173,0000	78,3741
1172,0000	78,339
1171,0000	78,3491
1170,0000	78,2906
1169,0000	78,3483
1168,0000	78,3741
1167,0000	78,3692
1166,0000	78,3911
1165,0000	78,3681
1164,0000	78,3581
1163,0000	78,3521
1162,0000	78,3811
1161,0000	78,3703
1160,0000	78,3813
1159,0000	78,4243
1158,0000	78,4263
1157,0000	78,4672
1156,0000	78,4639
1155,0000	78,4666
1154,0000	78,4528
